,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
323,5,2,4,95.13,1.5222,2.1838,3.2976,10000
324,5,2,5,89.98,2.0456,2.4093,4.074,10000
325,5,3,0,100.0,0.0,1.3047,1.561,10000
326,5,3,1,100.0,0.3311,1.6493,2.0416,10000
327,5,3,2,99.39,0.7809999999999999,1.9353,2.5718,10000
328,5,3,3,96.65,1.3124,2.2192,3.2119,10000
329,5,3,4,91.91,1.8661,2.4563,3.9459,10000
330,5,3,5,85.27,2.3761,2.6751,4.7559,10000
331,5,4,0,100.0,0.0,1.6869999999999998,2.0109,10000
332,5,4,1,99.99,0.4124,1.9797,2.4782,10000
333,5,4,2,98.8,0.949,2.2301,3.0553,10000
334,5,4,3,95.11,1.5326,2.5148,3.7623,10000
335,5,4,4,88.88000000000002,2.1331,2.7279,4.5978,10000
336,5,4,5,80.49,2.6509,2.9401,5.4518,10000
337,5,5,0,100.0,0.0,2.0158,2.4144,10000
338,5,5,1,99.96,0.4892,2.3142,2.9088,10000
339,5,5,2,98.12,1.0854,2.5533,3.5491,10000
340,5,5,3,92.37,1.7685,2.7743,4.3610000000000015,10000
341,5,5,4,83.97,2.4227,2.9296,5.2497,10000
342,5,5,5,75.32,2.9141,3.1231,6.1029,10000
343,5,6,0,100.0,0.0,2.332,2.7974,10000
344,5,6,1,99.84,0.5476,2.6531,3.3455,10000
345,5,6,2,96.93,1.2547,2.8841,4.0968,10000
346,5,6,3,88.99000000000002,2.0226,3.0787,5.0022,10000
347,5,6,4,79.2,2.6747,3.2518,5.9272,10000
348,5,6,5,70.02000000000001,3.1393,3.4076,6.7666,10000
349,5,7,0,100.0,0.0,2.6487,3.1996,10000
350,5,7,1,99.77,0.6273,2.9449,3.7964,10000
351,5,7,2,94.95,1.4166,3.1876,4.6368,10000
352,5,7,3,85.19,2.2512,3.3436,5.6256,10000
353,5,7,4,72.75,2.9556,3.437,6.5737,10000
354,5,7,5,64.01,3.3853,3.5412,7.4018,10000
355,5,8,0,100.0,0.0,2.9543,3.5906,10000
356,5,8,1,99.54,0.7081,3.2778,4.2711,10000
357,5,8,2,93.48,1.6181,3.5264,5.2395,10000
358,5,8,3,81.44,2.4659,3.5947,6.218999999999999,10000
359,5,8,4,68.45,3.1678,3.6156,7.2077,10000
360,5,8,5,58.39,3.58,3.718,7.9618,10000
361,5,9,0,100.0,0.0,3.3448,4.0001,10000
362,5,9,1,99.54,0.7914,3.6010000000000004,4.7533,10000
363,5,9,2,90.81,1.7861,3.8083,5.8314,10000
364,5,9,3,77.45,2.6867,3.8242,6.8651,10000
365,5,9,4,62.17,3.4093,3.8536,7.8748,10000
366,5,9,5,53.28000000000001,3.7573,3.9116,8.5301,10000
367,5,10,0,100.0,0.0,3.6395,4.3954,10000
368,5,10,1,99.2,0.8585,3.9048,5.2224,10000
369,5,10,2,88.53999999999998,1.9691,4.0535,6.3867,10000
370,5,10,3,72.46000000000002,2.9139999999999997,4.0710000000000015,7.5241,10000
371,5,10,4,57.22000000000001,3.5698,4.0062,8.392000000000001,10000
372,5,10,5,47.53,3.9345,4.0417,9.0607,10000
373,6,0,1,100.0,0.1705,1.0203,1.0154,10000
374,6,0,2,100.0,0.3605,1.1095,1.1165,10000
375,6,0,3,99.97,0.5942,1.3135,1.3738,10000
376,6,0,4,99.83,0.8875,1.6694,1.8087,10000
377,6,0,5,98.99,1.2439,2.0001,2.2961,10000
378,6,1,0,100.0,0.0,1.0033,1.0164,10000
379,6,1,1,100.0,0.1815,1.0826,1.1112,10000
380,6,1,2,100.0,0.4089,1.3107,1.3728,10000
381,6,1,3,99.93,0.7106,1.6665,1.7729,10000
382,6,1,4,99.55,1.0871,1.9768,2.2474,10000
383,6,1,5,98.27,1.5273,2.2929,2.7744,10000
384,6,2,0,100.0,0.0,1.1264,1.1109,10000
385,6,2,1,100.0,0.2253,1.3663,1.3717,10000
386,6,2,2,99.99,0.5143,1.6692,1.7416,10000
387,6,2,3,99.71,0.8899,2.0248,2.2107,10000
388,6,2,4,98.9,1.3374,2.3163,2.6915,10000
389,6,2,5,96.48,1.8575,2.5839,3.2889,10000
390,6,3,0,100.0,0.0,1.3493,1.3633,10000
391,6,3,1,100.0,0.3003,1.7112,1.7519999999999998,10000
392,6,3,2,99.96,0.654,2.0607,2.1641,10000
393,6,3,3,99.34,1.1057,2.3254,2.6188,10000
394,6,3,4,97.47,1.6275,2.635,3.18,10000
395,6,3,5,94.48,2.1654,2.8769,3.8301,10000
396,6,4,0,100.0,0.0,1.7341,1.7332,10000
397,6,4,1,100.0,0.3603,2.0688,2.1241,10000
398,6,4,2,99.92,0.7796,2.3835,2.5318,10000
399,6,4,3,98.65,1.3002,2.6307,3.0298,10000
400,6,4,4,96.0,1.8831,2.9393,3.6933,10000
401,6,4,5,91.6,2.4807,3.1059,4.4096,10000
402,6,5,0,100.0,0.0,2.092,2.1094,10000
403,6,5,1,100.0,0.4117,2.4004,2.4713,10000
404,6,5,2,99.77,0.9211,2.6649,2.918,10000
405,6,5,3,98.02,1.5014,2.9526,3.4965,10000
406,6,5,4,94.07,2.1363,3.1898,4.2061,10000
407,6,5,5,88.36,2.7869,3.4186,5.0311,10000
408,6,6,0,100.0,0.0,2.4403,2.4258,10000
409,6,6,1,100.0,0.4686,2.7002,2.8137,10000
410,6,6,2,99.36,1.0342,2.9913,3.3080000000000003,10000
411,6,6,3,97.29,1.6684,3.2502,3.9455,10000
412,6,6,4,91.69,2.4257,3.4882,4.7696,10000
413,6,6,5,84.22,3.0685,3.6693,5.6258,10000
414,6,7,0,100.0,0.0,2.7153,2.7423,10000
415,6,7,1,99.97,0.5278,3.0293,3.1732,10000
416,6,7,2,99.23,1.1715,3.3568,3.7587,10000
417,6,7,3,95.28,1.9448,3.5701,4.4913,10000
418,6,7,4,88.44,2.6971,3.7878,5.3566,10000
419,6,7,5,80.67,3.3176,3.8895,6.1875,10000
420,6,8,0,100.0,0.0,3.0743,3.0857,10000
421,6,8,1,99.98,0.5948,3.3287,3.5322,10000
422,6,8,2,98.77,1.2977,3.6396,4.1572,10000
423,6,8,3,93.56,2.1583,3.8361,5.0083,10000
424,6,8,4,84.94,2.9322,4.0252,5.9252,10000
425,6,8,5,75.92999999999998,3.6013,4.1654,6.8501,10000
426,6,9,0,100.0,0.0,3.4339999999999997,3.4212,10000
427,6,9,1,99.97,0.6447,3.7254,3.9148,10000
428,6,9,2,97.73,1.4787,3.9542,4.641,10000
429,6,9,3,91.44,2.3447,4.1457,5.5115,10000
430,6,9,4,81.61,3.1734,4.2535,6.522,10000
431,6,9,5,71.86,3.8391,4.3703,7.4453,10000
432,6,10,0,100.0,0.0,3.7335,3.7432,10000
433,6,10,1,99.96,0.7022,4.0326,4.2937,10000
434,6,10,2,97.09,1.5924,4.2285,5.0553,10000
435,6,10,3,88.47,2.5952,4.3917,6.1153,10000
436,6,10,4,76.73,3.4623,4.4426,7.1219,10000
437,6,10,5,65.68,4.0786,4.5173,7.9928,10000
438,7,0,1,100.0,0.1644,1.1912,1.0069,10000
439,7,0,2,100.0,0.3408,1.2479,1.0625,10000
440,7,0,3,100.0,0.5413,1.4285,1.2408,10000
441,7,0,4,99.96,0.8097,1.731,1.5685,10000
442,7,0,5,99.85,1.1526,2.0798,1.9641,10000
443,7,1,0,100.0,0.0,1.1797,1.0079,10000
444,7,1,1,100.0,0.1742,1.2247,1.0611,10000
445,7,1,2,100.0,0.3732,1.4352,1.2367,10000
446,7,1,3,100.0,0.6275,1.7367,1.5401,10000
447,7,1,4,99.88,0.9846,2.0984,1.95,10000
448,7,1,5,99.5,1.3626,2.399,2.3361,10000
449,7,2,0,100.0,0.0,1.2529,1.0658,10000
450,7,2,1,100.0,0.2109,1.4331,1.2328,10000
451,7,2,2,100.0,0.4613,1.7459,1.5416,10000
452,7,2,3,99.99,0.7815,2.0999,1.9123,10000
453,7,2,4,99.79,1.1561,2.3976,2.2815,10000
454,7,2,5,99.01,1.6241,2.6865,2.7185,10000
455,7,3,0,100.0,0.0,1.4173,1.2319,10000
456,7,3,1,100.0,0.2542,1.7602,1.5296,10000
457,7,3,2,100.0,0.5782,2.1367,1.8982,10000
458,7,3,3,99.9,0.9551,2.4712,2.2595,10000
459,7,3,4,99.56,1.3837,2.7148,2.6259,10000
460,7,3,5,98.46,1.9095,2.997,3.1279,10000
461,7,4,0,100.0,0.0,1.7781,1.5254,10000
462,7,4,1,100.0,0.325,2.1811,1.8768,10000
463,7,4,2,99.99,0.6855,2.4837,2.2186,10000
464,7,4,3,99.77,1.1247,2.7375,2.573,10000
465,7,4,4,98.9,1.6344,3.0369,3.0172,10000
466,7,4,5,97.57,2.1944,3.3014,3.5689,10000
467,7,5,0,100.0,0.0,2.175,1.867,10000
468,7,5,1,100.0,0.3669,2.4997,2.1888,10000
469,7,5,2,99.97,0.8005,2.7777,2.5109,10000
470,7,5,3,99.76,1.2814,3.0615,2.9225,10000
471,7,5,4,98.45,1.8757,3.313,3.4244,10000
472,7,5,5,95.54,2.5039,3.5952,4.0686,10000
473,7,6,0,100.0,0.0,2.5121,2.1644,10000
474,7,6,1,100.0,0.3919,2.7839,2.4648,10000
475,7,6,2,99.95,0.8832,3.0698,2.8196,10000
476,7,6,3,99.38,1.4643,3.4052,3.2948,10000
477,7,6,4,97.23,2.1038,3.6605,3.878,10000
478,7,6,5,93.76,2.7910000000000004,3.8759,4.5631,10000
479,7,7,0,100.0,0.0,2.8322,2.4319,10000
480,7,7,1,100.0,0.4585,3.1186,2.7573,10000
481,7,7,2,99.94,0.9838,3.4077,3.1506,10000
482,7,7,3,98.85,1.6582,3.6889999999999996,3.6913,10000
483,7,7,4,96.2,2.3221,3.9356,4.302,10000
484,7,7,5,91.73,3.0776,4.1495,5.0884,10000
485,7,8,0,100.0,0.0,3.1534,2.7028,10000
486,7,8,1,100.0,0.5164,3.4592,3.0677,10000
487,7,8,2,99.83,1.1064,3.7453,3.5078,10000
488,7,8,3,98.45,1.8259999999999998,3.99,4.0842,10000
489,7,8,4,94.75,2.6023,4.2838,4.8286,10000
490,7,8,5,88.42,3.3774,4.4533,5.6856,10000
491,7,9,0,100.0,0.0,3.5043,3.0046,10000
492,7,9,1,100.0,0.5694,3.8101,3.3791,10000
493,7,9,2,99.77,1.2288,4.0359,3.845,10000
494,7,9,3,97.5,2.0055,4.3115,4.4883,10000
495,7,9,4,92.71,2.832,4.5654,5.3104,10000
496,7,9,5,85.54,3.6146,4.6873,6.1583,10000
497,7,10,0,100.0,0.0,3.8422,3.2891,10000
498,7,10,1,100.0,0.6223,4.1119,3.6893,10000
499,7,10,2,99.62,1.3479,4.3941,4.2142,10000
500,7,10,3,96.74,2.2122,4.6177,4.9225,10000
501,7,10,4,90.68,3.0798,4.7702,5.7944,10000
502,7,10,5,81.92,3.9156,4.9674,6.7714,10000
503,8,0,1,100.0,0.165,1.3407,1.0032,10000
504,8,0,2,100.0,0.3425,1.3588,1.0382,10000
505,8,0,3,100.0,0.5233,1.5194,1.1488,10000
506,8,0,4,99.99,0.7791,1.7809,1.3825,10000
507,8,0,5,99.96,1.0704,2.1294,1.7144,10000
508,8,1,0,100.0,0.0,1.3404,1.0044,10000
509,8,1,1,100.0,0.1683,1.3862,1.0368,10000
510,8,1,2,100.0,0.3688,1.5264,1.1463,10000
511,8,1,3,100.0,0.5986,1.8121,1.3832,10000
512,8,1,4,100.0,0.8688,2.1613,1.702,10000
513,8,1,5,99.98,1.1924,2.5068,2.0379,10000
514,8,2,0,100.0,0.0,1.3662,1.0341,10000
515,8,2,1,100.0,0.2,1.5266,1.152,10000
516,8,2,2,100.0,0.42100000000000004,1.8054,1.3724,10000
517,8,2,3,100.0,0.7001,2.1633,1.6967,10000
518,8,2,4,99.98,1.0449,2.502,2.0218,10000
519,8,2,5,99.82,1.4354,2.8039,2.3494,10000
520,8,3,0,100.0,0.0,1.501,1.1404,10000
521,8,3,1,100.0,0.2285,1.824,1.3796,10000
522,8,3,2,100.0,0.5033,2.2044,1.685,10000
523,8,3,3,100.0,0.8574,2.5435,2.0115,10000
524,8,3,4,99.92,1.2497,2.8752,2.3231,10000
525,8,3,5,99.61,1.6835,3.1316,2.6675,10000
526,8,4,0,100.0,0.0,1.8259,1.3696,10000
527,8,4,1,100.0,0.2775,2.2044,1.6742,10000
528,8,4,2,100.0,0.5961,2.5618,1.9842,10000
529,8,4,3,99.98,1.0007,2.8505,2.2842,10000
530,8,4,4,99.82,1.436,3.1903,2.6165,10000
531,8,4,5,99.17,1.9456,3.4305,2.9923,10000
532,8,5,0,100.0,0.0,2.2382,1.6814,10000
533,8,5,1,100.0,0.3342,2.5938,1.9753,10000
534,8,5,2,100.0,0.7109,2.8788,2.2466,10000
535,8,5,3,99.96,1.1393,3.1623,2.5485,10000
536,8,5,4,99.69,1.651,3.4578,2.9162,10000
537,8,5,5,98.59,2.1841,3.7186,3.3556,10000
538,8,6,0,100.0,0.0,2.6219,1.9656,10000
539,8,6,1,100.0,0.3742,2.9343,2.2311,10000
540,8,6,2,100.0,0.7906,3.1738,2.491,10000
541,8,6,3,99.9,1.2884,3.4785,2.8434,10000
542,8,6,4,99.39,1.8193,3.7425,3.24,10000
543,8,6,5,97.96,2.4691,4.0419,3.7656,10000
544,8,7,0,100.0,0.0,2.9428,2.2075,10000
545,8,7,1,100.0,0.4103,3.2104,2.4613,10000
546,8,7,2,100.0,0.8794,3.5219,2.7681,10000
547,8,7,3,99.85,1.4369,3.8655,3.1581,10000
548,8,7,4,99.06,2.0341,4.1417,3.6134,10000
549,8,7,5,97.01,2.7035,4.3666,4.1663,10000
550,8,8,0,100.0,0.0,3.2592,2.4332,10000
551,8,8,1,100.0,0.4474,3.5266,2.7195,10000
552,8,8,2,99.99,0.9706,3.8284,3.0521,10000
553,8,8,3,99.72,1.5843,4.1752,3.4706,10000
554,8,8,4,98.53,2.2584,4.3755,3.9758,10000
555,8,8,5,95.74,2.9712,4.6262,4.589,10000
556,8,9,0,100.0,0.0,3.5814,2.6827,10000
557,8,9,1,100.0,0.4961,3.8646,2.9874,10000
558,8,9,2,99.97,1.0595,4.1802,3.3333,10000
559,8,9,3,99.4,1.7221,4.4533,3.7874,10000
560,8,9,4,97.66,2.479,4.6852,4.3668,10000
561,8,9,5,94.35,3.2353,4.9076,5.066,10000
562,8,10,0,100.0,0.0,3.9073,2.9398,10000
563,8,10,1,100.0,0.5392,4.2403,3.2665,10000
564,8,10,2,99.93,1.1641,4.4722,3.6389,10000
565,8,10,3,99.41,1.886,4.7753,4.1278,10000
566,8,10,4,96.73,2.6844,5.0189,4.762,10000
567,8,10,5,92.51,3.5406,5.1869,5.5168,10000
568,9,0,1,100.0,0.1673,1.4985,1.0016,10000
569,9,0,2,100.0,0.3505,1.5511,1.023,10000
570,9,0,3,100.0,0.524,1.6466,1.0969,10000
571,9,0,4,100.0,0.7193,1.8475,1.2607,10000
572,9,0,5,100.0,0.9745,2.2104,1.5312,10000
573,9,1,0,100.0,0.0,1.5109,1.0015,10000
574,9,1,1,100.0,0.1653,1.499,1.0184,10000
575,9,1,2,100.0,0.3454,1.6297,1.0923,10000
576,9,1,3,100.0,0.5568,1.8369,1.2505,10000
577,9,1,4,100.0,0.8214,2.2395,1.5369,10000
578,9,1,5,99.99,1.0986,2.6015,1.8288,10000
579,9,2,0,100.0,0.0,1.5199,1.0215,10000
580,9,2,1,100.0,0.1828,1.6264,1.0889,10000
581,9,2,2,100.0,0.3892,1.874,1.2628,10000
582,9,2,3,100.0,0.6436,2.2523,1.5269,10000
583,9,2,4,99.99,0.9658,2.587,1.8286,10000
584,9,2,5,99.94,1.3199,2.9584,2.1099,10000
585,9,3,0,100.0,0.0,1.6209,1.0908,10000
586,9,3,1,100.0,0.2122,1.8653,1.2587,10000
587,9,3,2,100.0,0.4606,2.2217,1.5195,10000
588,9,3,3,100.0,0.7815,2.6513,1.8216,10000
589,9,3,4,100.0,1.1314,2.9643,2.093,10000
590,9,3,5,99.95,1.4895,3.2383,2.3513,10000
591,9,4,0,100.0,0.0,1.865,1.2498,10000
592,9,4,1,100.0,0.2568,2.2756,1.5242,10000
593,9,4,2,100.0,0.5539999999999999,2.6601,1.816,10000
594,9,4,3,100.0,0.9076,3.0048,2.0731,10000
595,9,4,4,99.94,1.3178,3.242,2.3279,10000
596,9,4,5,99.89,1.75,3.5247,2.6265,10000
597,9,5,0,100.0,0.0,2.2517,1.5177,10000
598,9,5,1,100.0,0.2935,2.6677,1.7946,10000
599,9,5,2,100.0,0.6474,3.0254,2.0695,10000
600,9,5,3,100.0,1.0355,3.2554,2.2929,10000
601,9,5,4,99.93,1.4811,3.5545,2.5682,10000
602,9,5,5,99.67,1.9425,3.8227,2.8987,10000
603,9,6,0,100.0,0.0,2.6579,1.7922,10000
604,9,6,1,100.0,0.336,3.0413,2.0456,10000
605,9,6,2,100.0,0.7168,3.2973,2.2721,10000
606,9,6,3,100.0,1.1507,3.5334,2.5204,10000
607,9,6,4,99.86,1.6456,3.9069,2.8482,10000
608,9,6,5,99.45,2.191,4.1481,3.228,10000
609,9,7,0,100.0,0.0,3.0428,2.036,10000
610,9,7,1,100.0,0.3752,3.2974,2.241,10000
611,9,7,2,100.0,0.8023,3.591,2.4916,10000
612,9,7,3,99.98,1.2645,3.8960000000000004,2.7815,10000
613,9,7,4,99.85,1.7834,4.1802,3.1187,10000
614,9,7,5,99.22,2.4205,4.4957,3.5483,10000
615,9,8,0,100.0,0.0,3.3797,2.2327,10000
616,9,8,1,100.0,0.4149,3.6202,2.45,10000
617,9,8,2,100.0,0.8694,3.899,2.7284,10000
618,9,8,3,99.98,1.3876,4.2354,3.0339,10000
619,9,8,4,99.68,2.0039,4.4843,3.4261,10000
620,9,8,5,98.65,2.6301,4.7616,3.8673,10000
621,9,9,0,100.0,0.0,3.6125,2.4233,10000
622,9,9,1,100.0,0.445,3.9425,2.681,10000
623,9,9,2,100.0,0.9432,4.2602,2.9765,10000
624,9,9,3,99.91,1.5452,4.5801,3.3392,10000
625,9,9,4,99.51,2.1968,4.8252,3.7303,10000
626,9,9,5,97.88,2.8983,5.0789,4.245,10000
627,9,10,0,100.0,0.0,3.9634,2.6482,10000
628,9,10,1,100.0,0.491,4.2809,2.932,10000
629,9,10,2,99.99,1.0273,4.5955,3.232,10000
630,9,10,3,99.9,1.6562,4.9118,3.5899,10000
631,9,10,4,99.19,2.374,5.1354,4.0333,10000
632,9,10,5,97.4,3.1374,5.3504,4.6051,10000
633,10,0,1,100.0,0.1726,1.6845,1.0015,10000
634,10,0,2,100.0,0.3293,1.6949,1.012,10000
635,10,0,3,100.0,0.5136,1.7583,1.0515,10000
636,10,0,4,100.0,0.7011,1.9252,1.1765,10000
637,10,0,5,100.0,0.9479,2.2102,1.3864,10000
638,10,1,0,100.0,0.0,1.6916,1.0012,10000
639,10,1,1,100.0,0.17,1.6779,1.0102,10000
640,10,1,2,100.0,0.33899999999999997,1.7565,1.0541,10000
641,10,1,3,100.0,0.5362,1.9195,1.171,10000
642,10,1,4,100.0,0.7729,2.2623,1.3919,10000
643,10,1,5,100.0,1.0415,2.6515,1.6607,10000
644,10,2,0,100.0,0.0,1.6742,1.0094,10000
645,10,2,1,100.0,0.1707,1.7522,1.0546,10000
646,10,2,2,100.0,0.3679,1.9616,1.172,10000
647,10,2,3,100.0,0.6044,2.2965,1.3913,10000
648,10,2,4,100.0,0.8794,2.6407,1.6522,10000
649,10,2,5,100.0,1.2103,2.9965,1.9239,10000
